# 数据册别：四年级上册
# 格式：汉字 | 拼音 | 组词1 | 拼音 | 释义 ; 组词2 | 拼音 | 释义 ; 组词3 | 拼音 | 释义
# 说明：每个字固定三个组词；第一个组词用于每日听写，请优先放课文/词语表里的词。

[第1课]
据 | jù | 根据 | gēn jù | 作为依据 ; 据说 | jù shuō | 常用组词 ; 依据 | yī jù | 常用组词
随 | suí | 随着 | suí zhe | 跟着变化 ; 随手 | suí shǒu | 常用组词 ; 随便 | suí biàn | 常用组词
堤 | dī | 河堤 | hé dī | 挡水土坝 ; 堤坝 | dī bà | 常用组词 ; 大堤 | dà dī | 常用组词
顿 | dùn | 停顿 | tíng dùn | 暂时停止 ; 顿时 | dùn shí | 常用组词 ; 整顿 | zhěng dùn | 常用组词
逐 | zhú | 逐渐 | zhú jiàn | 一点点变化 ; 逐步 | zhú bù | 常用组词 ; 追逐 | zhuī zhú | 常用组词
渐 | jiàn | 渐渐 | jiàn jiàn | 慢慢变化 ; 逐渐 | zhú jiàn | 常用组词 ; 渐变 | jiàn biàn | 常用组词
堵 | dǔ | 堵住 | dǔ zhù | 挡住不通 ; 堵车 | dǔ chē | 常用组词 ; 围堵 | wéi dǔ | 常用组词
墙 | qiáng | 墙壁 | qiáng bì | 建筑墙面 ; 城墙 | chéng qiáng | 常用组词 ; 围墙 | wéi qiáng | 常用组词
浩 | hào | 浩荡 | hào dàng | 水势声势广大 ; 浩瀚 | hào hàn | 常用组词 ; 浩大 | hào dà | 常用组词
崩 | bēng | 崩塌 | bēng tā | 突然倒塌 ; 崩溃 | bēng kuì | 常用组词 ; 山崩 | shān bēng | 常用组词
霎 | shà | 霎时 | shà shí | 极短一会 ; 霎那 | shà nà | 常用组词 ; 一霎 | yī shà | 常用组词
余 | yú | 剩余 | shèng yú | 留下部分 ; 多余 | duō yú | 常用组词 ; 业余 | yè yú | 常用组词

[第2课]
繁 | fán | 繁星 | fán xīng | 众多星星 ; 繁忙 | fán máng | 常用组词 ; 繁荣 | fán róng | 常用组词
怀 | huái | 怀抱 | huái bào | 抱在胸前 ; 怀念 | huái niàn | 常用组词 ; 胸怀 | xiōng huái | 常用组词
寂 | jì | 寂静 | jì jìng | 十分安静 ; 寂寞 | jì mò | 常用组词 ; 沉寂 | chén jì | 常用组词
谈 | tán | 谈话 | tán huà | 交流说话 ; 交谈 | jiāo tán | 常用组词 ; 谈论 | tán lùn | 常用组词
熟 | shú | 熟悉 | shú xī | 知道得清楚 ; 成熟 | chéng shú | 常用组词 ; 熟人 | shú rén | 常用组词
躺 | tǎng | 躺下 | tǎng xià | 身体横卧 ; 躺椅 | tǎng yǐ | 常用组词 ; 躺平 | tǎng píng | 常用组词
模 | mó | 模糊 | mó hu | 不清楚 ; 模型 | mó xíng | 常用组词 ; 模样 | mú yàng | 常用组词
糊 | hú | 模糊 | mó hu | 不清楚 ; 糊涂 | hú tu | 常用组词 ; 糊口 | hú kǒu | 常用组词
围 | wéi | 包围 | bāo wéi | 从四周围住 ; 周围 | zhōu wéi | 常用组词 ; 围巾 | wéi jīn | 常用组词
舞 | wǔ | 跳舞 | tiào wǔ | 有节奏动作 ; 舞台 | wǔ tái | 常用组词 ; 舞蹈 | wǔ dǎo | 常用组词

[第4课]
舒 | shū | 舒服 | shū fu | 感到轻松 ; 舒展 | shū zhǎn | 常用组词 ; 舒适 | shū shì | 常用组词
适 | shì | 合适 | hé shì | 符合条件 ; 适合 | shì hé | 常用组词 ; 适应 | shì yìng | 常用组词
揭 | jiē | 揭开 | jiē kāi | 掀开覆盖 ; 揭示 | jiē shì | 常用组词 ; 揭晓 | jiē xiǎo | 常用组词
